Medium_Key,Report_Medium
2026,Other
2027,Other
2028,EMAIL
2029,EMAIL
2030,EMAIL
2031,EMAIL
2032,AFFILIATE
2033,EMAIL
2034,EMAIL
2035,Other
2036,EMAIL
2037,Other
2038,EMAIL
2039,EMAIL
2040,EMAIL
2041,Other
2042,SOCIAL
2043,REFERRAL
2044,EMAIL
2045,EMAIL
2046,AFFILIATE
2047,EMAIL
2048,EMAIL
2049,EMAIL
2050,REFERRAL
2051,REFERRAL
2052,EMAIL
2053,REFERRAL
2054,EMAIL
2055,Other
2056,Other
2057,EMAIL
2058,Other
2059,Other
2060,Other
2061,Other
2062,EMAIL
2063,EMAIL
2064,Other
2065,EMAIL
2066,Other
2067,EMAIL
2068,Other
2069,Other
2070,Other
2071,EMAIL
2072,AFFILIATE
2073,EMAIL
2074,AFFILIATE
2075,EMAIL
2076,Other
2077,Other
2078,EMAIL
2079,EMAIL
2080,EMAIL
2081,Other
2082,EMAIL
2083,Other
2084,Other
2085,Other
2086,EMAIL
2087,Other
2088,EMAIL
2089,Other
2090,EMAIL
2091,Other
2092,Other
2093,AFFILIATE
2094,EMAIL
2095,Other
2096,EMAIL
2097,Other
2098,Other
2099,EMAIL
2100,EMAIL
2101,Other
2102,EMAIL
2103,EMAIL
2104,AFFILIATE
2105,Other
2106,EMAIL
2107,AFFILIATE
2108,EMAIL
2109,EMAIL
2110,EMAIL
2111,EMAIL
2112,EMAIL
2113,Other
2114,EMAIL
2115,EMAIL
2116,EMAIL
2117,EMAIL
2118,AFFILIATE
2119,EMAIL
2120,Other
2121,EMAIL
2122,EMAIL
2123,EMAIL
2124,Other
2125,Other
2126,EMAIL
2127,Other
2128,Other
2129,Other
2130,Other
2131,EMAIL
2132,EMAIL
2133,EMAIL
2134,Other
2135,Other
2136,EMAIL
2137,EMAIL
2138,EMAIL
2139,AFFILIATE
2140,EMAIL
2141,SOCIAL
2142,Other
2143,Other
2144,EMAIL
2145,EMAIL
2146,Other
2147,Other
2148,EMAIL
2149,EMAIL
2150,Other
2151,Other
2152,Other
2153,AFFILIATE
2154,EMAIL
2155,AFFILIATE
2156,EMAIL
2157,Other
2158,EMAIL
2159,Other
2160,EMAIL
2161,EMAIL
2162,Other
2163,AFFILIATE
2164,EMAIL
2165,Other
2166,Other
2167,Other
2168,Other
2169,EMAIL
2170,AFFILIATE
2171,Other
2172,EMAIL
2173,EMAIL
2174,Other
2175,Other
2176,EMAIL
2177,Other
2178,EMAIL
2179,AFFILIATE
2180,Other
2181,EMAIL
2182,Other
2183,Other
2184,Other
2185,EMAIL
2186,Other
2187,Other
2188,Other
2189,Other
2190,EMAIL
2191,Other
2192,Other
2193,Other
2194,Other
2195,EMAIL
2196,Other
2197,EMAIL
2198,EMAIL
2199,Other
2200,EMAIL
2201,Other
2202,Other
2203,Other
2204,EMAIL
2205,Other
2206,EMAIL
2207,EMAIL
2208,EMAIL
2209,Other
2210,Other
2211,Other
2212,EMAIL
2213,Other
2214,Other
2215,EMAIL
2216,EMAIL
2217,Other
2218,Other
2219,Other
2220,EMAIL
2221,EMAIL
2222,Other
2223,Other
2224,EMAIL
2225,Other
2226,EMAIL
2227,EMAIL
2228,Other
2229,Other
2230,EMAIL
2231,EMAIL
2232,Other
2233,EMAIL
2234,AFFILIATE
2235,Other
2236,Other
2237,AFFILIATE
2238,EMAIL
2239,Other
2240,EMAIL
2241,Other
2242,Other
2243,Other
2244,EMAIL
2245,Other
2246,EMAIL
2247,AFFILIATE
2248,EMAIL
2249,Other
2250,Other
2251,EMAIL
2252,AFFILIATE
2253,Other
2254,Other
2255,AFFILIATE
2256,Other
2257,EMAIL
2258,EMAIL
2259,Other
2260,EMAIL
2261,EMAIL
2262,Other
2263,Other
2264,EMAIL
2265,EMAIL
2266,AFFILIATE
2267,PPC
2268,AFFILIATE
2269,EMAIL
2270,AFFILIATE
2271,EMAIL
2272,REFERRAL
2273,AFFILIATE
2274,Other
2275,Other
2276,Other
2277,REFERRAL
2278,Other
2279,EMAIL
2280,Other
2281,AFFILIATE
2282,EMAIL
2283,Other
2284,EMAIL
2285,Other
2286,AFFILIATE
2287,REFERRAL
2288,EMAIL
2289,Other
2290,EMAIL
2291,Other
2292,AFFILIATE
2293,AFFILIATE
2294,Other
2295,EMAIL
2296,EMAIL
2297,EMAIL
2298,EMAIL
2299,Other
2300,Other
2301,EMAIL
2302,Other
2303,Other
2304,Other
2305,EMAIL
2306,AFFILIATE
2307,EMAIL
2308,Other
2309,EMAIL
2310,AFFILIATE
2311,EMAIL
2312,Other
2313,Other
2314,Other
2315,Other
2316,Other
2317,Other
2318,Other
2319,Other
2320,Other
2321,Other
2322,Other
2323,Other
2324,Other
2325,Other
2326,Other
2327,Other
2328,Other
2329,Other
2330,Other
2331,Other
2332,Other
2333,Other
2334,Other
2335,Other
2336,Other
2337,Other
2338,Other
2339,Other
2340,Other
2341,Other
2342,Other
2343,Other
2344,Other
2345,Other
2346,Other
2347,Other
2348,Other
2349,Other
2350,Other
2351,Other
2352,Other
2353,Other
2354,Other
2355,Other
2356,Other
2357,Other
2358,Other
2359,Other
2360,Other
2361,Other
2362,Other
2363,Other
2364,Other
2365,Other
2366,Other
2367,Other
2368,Other
2369,Other
2370,Other
2371,Other
2372,Other
2373,Other
2374,Other
2375,Other
2376,Other
2377,Other
2378,Other
2379,Other
2380,Other
2381,Other
2382,Other
2383,Other
2384,Other
2385,Other
2386,Other
2387,Other
2388,Other
2389,Other
2390,Other
2391,EMAIL
2392,Other
2393,AFFILIATE
2394,Other
2395,Other
2396,Other
2397,Other
2398,Other
2399,Other
2400,Other
2401,Other
2402,Other
2403,Other
2404,Other
2405,Other
2406,Other
2407,Other
2408,Other
2409,Other
2410,Other
2411,Other
2412,Other
2413,Other
2414,Other
2415,EMAIL
2416,Other
2417,Other
2418,Other
2419,Other
2420,Other
2421,Other
2422,Other
2423,Other
2424,Other
2425,Other
2426,Other
2427,Other
2428,EMAIL
2429,Other
2430,Other
2431,Other
2432,Other
2433,Other
2434,Other
2435,Other
2436,Other
2437,Other
2438,Other
2439,Other
2440,Other
2441,Other
2442,Other
2443,Other
2444,Other
2445,Other
2446,EMAIL
2447,Other
2448,Other
2449,Other
2450,Other
2451,Other
2452,Other
2453,Other
2454,Other
2455,Other
2456,Other
2457,Other
2458,Other
2459,Other
2460,EMAIL
2461,Other
2462,Other
2463,Other
2464,Other
2465,Other
2466,Other
2467,Other
2468,Other
2469,Other
2470,Other
2471,Other
2472,Other
2473,Other
2474,Other
2475,Other
2476,Other
2477,Other
2478,Other
2479,Other
2480,Other
2481,EMAIL
2482,Other
2483,Other
2484,Other
2485,Other
2486,Other
2487,Other
2488,Other
2489,Other
2490,Other
2491,Other
2492,Other
2493,Other
2494,Other
2495,Other
2496,Other
2497,Other
2498,Other
2499,Other
2500,Other
2501,Other
2502,Other
2503,Other
2504,Other
2505,Other
2506,Other
