"Category_Level_2Accessories","Category_Level_2Bags","Category_Level_2Beauty.Boxes","Category_Level_2Body.Care","Category_Level_2Books","Category_Level_2Clothing","Category_Level_2DVD.and.Blu.Ray","Category_Level_2Footwear","Category_Level_2Fragrance","Category_Level_2Games","Category_Level_2Garden","Category_Level_2Gifting","Category_Level_2Gifts","Category_Level_2Hair.Care","Category_Level_2Health.and.Beauty.Electricals","Category_Level_2Health.and.Beauty.Gift.Sets","Category_Level_2Homeware","Category_Level_2Make.Up","Category_Level_2Merchandise","Category_Level_2Music","Category_Level_2Nail.Care","Category_Level_2NULL","Category_Level_2Shaving","Category_Level_2Skin.Care","Category_Level_2Sports","Category_Level_2Sports.Nutrition","Category_Level_2Tech","Category_Level_2Toys","Delivery_Option_Type_Key","Payment_Method_Key","Locale_Key","Order_Sequence_No","Medium_Key","Campaign_Key","Order_Payment_Status_Key","Payment_Provider_Key","Ordered_Product_Key","Product_Charge_Price","Ordered_Qty","Cancelled_Qty","pay_key_num","num_valid","count","prop","status","canc_prop","ship_status","fraud_status","destination_int","priority_int","occupation_int","Site_Key"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,-1,6,1,13,82461,0,-1,2372126,18.9585,1,0,0,1,1,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,6,59,53756,0,1,2315198,10.4354,1,0,0,2,2,1,2,0,2,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,6,59,53756,0,1,2325560,10.4275,1,0,0,2,2,1,2,0,2,0,2,1,1,"153"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9,2,1,13,82461,0,2,2423649,14.3691,1,0,0,1,1,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,1,106,2,0,1,1891155,9.3661,1,0,0,2,2,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,1,106,2,0,1,2116857,9.3661,1,0,0,2,2,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,1,106,2,0,2,2195219,9.569,1,0,0,1,1,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,15,59,65872,0,2,2266228,9.0539,1,0,0,15,15,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,15,59,65872,0,2,2266229,9.4597,1,0,0,15,15,1,2,0,1,0,2,1,1,"153"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,15,59,65872,0,2,1915685,9.4597,1,0,0,15,15,1,2,0,1,0,2,1,1,"153"
